Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;esrb_rating
Devil May Cry 5;Mar 08, 2019;['Capcom', 'Capcom Development Division 1'];Devil May Cry 5 is a brand-new entry in the legendary over-the-top action series Devil May Cry. The game features three playable characters, each with a radically different stylish combat play style as they take on the city overrun with demons. Developed with Capcom’s in-house proprietary RE engine, the series continues to achieve new heights in fidelity with graphics that utilize photorealistic character designs and stunning lighting and environmental effects.;['Windows PC', 'PlayStation 4', 'Xbox One'];['Adventure', 'Brawler'];4.3;14K;
The Legend of Zelda: Ocarina of Time;Nov 21, 1998;['Nintendo EAD', 'Nintendo'];The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.;['Wii U', 'Wii', 'Nintendo 64'];['Adventure', 'RPG'];4.3;20K;Everyone
Overwatch 2;Oct 04, 2022;['Blizzard Entertainment'];Reunite and stand together in a new age of heroes. Overwatch 2 builds on an award-winning foundation of epic competitive play, and challenges the worldâ€™s heroes to team up, power up, and take on an overwhelming outbreak of threats around the globe.;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Shooter'];2.6;9K;Rating Pending
Persona 5;Sep 15, 2016;['Atlus', 'Atlus USA'];Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.;['PlayStation 4', 'PlayStation 3'];['Adventure', 'RPG', 'Turn Based Strategy'];4.1;18K;Mature
Shin Megami Tensei V;Nov 12, 2021;['Sega', 'Atlus'];Shin Megami Tensei V, the fifth numbered game of the Shin Megami Tensei series, is a role-playing video game set in modern-day Tokyo. It will feature returning gameplay elements from previous games, such as the ability to fuse demons, along with new mechanics.;['Nintendo Switch'];['Adventure', 'RPG', 'Turn Based Strategy'];3.8;4.7K;
Final Fantasy VII Remake;Apr 10, 2020;['Square Enix'];A spectacular re-imagining of one of the most visionary games ever, Final Fantasy VII Remake rebuilds and expands the legendary RPG for today. The first game in this project is set in the eclectic city of Midgar and presents a fully standalone gaming experience.;['PlayStation 4', 'PlayStation 5'];['Adventure', 'RPG'];4.1;13K;Teen
Yuukuri Panic Escalation;TBD;[];Yuri Visual Novel about Rie Komatsuzaki. She has just transferred to the Catholic school for girls. She meet there Naomi and Midori after that her life really change.;[];[];N/A;0;
Neon White;Jun 16, 2022;['Ben Esposito', 'Annapurna Interactive'];Neon White is a lightning fast first-person action game about exterminating demons in Heaven. You are White, an assassin handpicked from Hell to compete with other demon slayers for a chance to live permanently in Heaven. The other assassins seem familiar, though… did you know them in a past life?;['Windows PC', 'PlayStation 4', 'PlayStation 5', 'Nintendo Switch'];['Indie', 'Platform', 'Shooter', 'Visual Novel'];4.1;3.7K;
Fortnite;Jul 25, 2017;['Epic Games'];Fortnite is the completely free online game where you and your friends fight to be the last one standing in Battle Royale, join forces to make your own Creative games, or catch a live show at Party Royale.;['Windows PC', 'Android', 'Mac', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'RPG', 'Shooter', 'Strategy'];2.8;20K;
Dark Souls;Sep 22, 2011;['Bandai Namco Entertainment', 'FromSoftware'];An action RPG and spiritual sequel to Demon's Souls in which the player embodies the Chosen Undead, who is tasked with fulfilling an ancient prophecy by ringing the Bells of Awakening in the dark fantasy setting of Lordran, an open world with intricate areas full of beasts, former humans gone hollow, and magical abominations whom the player must overcome in challenging and unforgiving combat.;['Windows PC', 'Xbox 360', 'PlayStation 3'];['Adventure', 'RPG'];4.3;16K;Mature
Metal Gear Solid;Sep 03, 1998;['Konami', 'Konami Computer Entertainment Japan'];Metal Gear Solid is a stealth game created by Hideo Kojima which follows the MSX2 video games Metal Gear and Metal Gear 2: Solid Snake. Despite a transition to 3D, Metal Gear Solid's gameplay remains similar to his predecessors. The game utilizes a traditional top-down view and the player must navigate the protagonist Solid Snake through the game's areas without being detected. Detection will set off an alarm which draws armed enemies to his location. Conversations with Snake's allies and cutscenes are used extensively to advance the plot and gain more insight into it. Metal Gear Solid is regarded as one of the greatest and most important video games of all time, and helped popularize the stealth genre and in-engine cinematic cutscenes.;['PlayStation 3', 'PlayStation', 'PlayStation Vita', 'PlayStation Portable'];['Adventure', 'Puzzle', 'Tactical'];4.2;14K;Mature
Vampire Survivors;Dec 17, 2021;['Poncle'];Mow thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.;['Windows PC', 'Android', 'Mac', 'iOS', 'Xbox One', 'Xbox Series'];['Arcade', 'Indie', 'RPG'];3.7;8.1K;
Star Wars Jedi: Fallen Order;Nov 15, 2019;['Respawn Entertainment', 'Electronic Arts'];Star Wars Jedi: Fallen Order is a narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode III: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors.;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Google Stadia', 'Xbox Series'];['Adventure'];3.7;16K;Teen
Sonic Frontiers;Nov 08, 2022;['Sega', 'Sonic Team'];Worlds will collide in Sonic the Hedgehog’s newest adventure. /n An experience like never before, accelerate to new heights and experience the thrill of high velocity open-zone freedom. Battle powerful enemies as you speed through the Starfall Islands - landscapes brimming with dense forests, overflowing waterfalls, sizzling deserts and more!;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'Platform'];3.6;3.7K;
Inscryption;Oct 19, 2021;['Devolver Digital', 'Daniel Mullins Games'];Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...;['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy'];4.1;6.5K;
BioShock;Aug 21, 2007;['2K Games', '2K Boston'];BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.;['Windows PC', 'Mac', 'Xbox 360', 'PlayStation 3'];['Adventure', 'Puzzle', 'RPG', 'Shooter'];4.0;20K;Mature
Tunic;Mar 16, 2022;['Andrew Shouldice', 'Finji'];Tunic is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago.;['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'Indie', 'Puzzle', 'RPG'];3.9;4.2K;
Fall Guys;Aug 04, 2020;['Devolver Digital', 'Mediatonic'];Fall Guys flings hordes of contestants together online in a mad dash through round after round of escalating chaos until one victor remains! Battle bizarre obstacles, shove through unruly competitors, and overcome the unbending laws of physics to avoid both humiliation and elimination. Leave your dignity at the door and prepare for hilarious failure in your quest for the crown.;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Indie', 'Platform', 'Sport'];3.0;19K;
BioShock Infinite;Feb 26, 2013;['Irrational Games', '2K Games'];BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.;['Windows PC', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Xbox One', 'Nintendo Switch'];['Adventure', 'Shooter'];3.5;20K;Mature
Marvel's Spider-Man: Miles Morales;Nov 12, 2020;['Insomniac Games', 'Sony Interactive Entertainment'];The latest adventure in the Spider-Man universe will build on and expand ‘Marvel’s Spider-Man’ through an all-new story. Players will experience the rise of Miles Morales as he masters new powers to become his own Spider-Man.;['Windows PC', 'PlayStation 4', 'PlayStation 5'];['Adventure', 'Brawler'];3.9;12K;Teen
